g,a,b,c,ia,ib,ic,va,vb,vc
0,0,0,0,-168.6009717,117.1506147,51.45035838,1076.610277,-193.3852003,-883.2250763
0,0,0,0,-170.3616248,108.6661071,61.69551949,1049.3729,-117.6686249,-931.7042753
0,0,0,0,-171.3877156,99.68801378,71.69970387,1017.451505,-41.30582927,-976.1456761
0,0,0,0,-171.6648769,90.34131584,81.32356329,981.280065,34.55846952,-1015.838534
0,0,0,0,-171.1990161,80.61994821,90.57907022,940.8802705,110.2943478,-1051.174618
0,0,0,0,-170.0117903,70.51726989,99.4945228,895.9109395,185.4762536,-1081.387193
0,0,0,0,-168.4012697,60.16979962,108.2314725,844.2926833,259.5323019,-1103.824985
0,0,0,0,-166.123265,49.57510182,116.5481656,789.1221298,332.1489042,-1121.271034
0,0,0,0,-163.1296902,38.72247971,124.4072129,730.6807184,403.6412771,-1134.321996
0,0,0,0,-159.4639006,27.76267541,131.7012275,669.6794796,472.9985466,-1142.678026
0,0,0,0,-155.1270782,16.686229,138.4408515,606.084918,540.1819745,-1146.266893
0,0,0,0,-150.113348,5.490748554,144.6226017,539.7346812,605.3980996,-1145.132781
0,0,0,0,-144.4900389,-5.671291057,150.1613323,471.6297357,667.4901555,-1139.119891
0,0,0,0,-138.2567306,-16.80771298,155.0644458,401.6417677,726.7234019,-1128.36517
0,0,0,0,-131.4073401,-27.91968598,159.3270283,329.8855461,782.7910354,-1112.676582
0,0,0,0,-124.0300106,-38.86336564,162.8933784,256.8798937,835.6937914,-1092.573685
0,0,0,0,-116.1295835,-49.63636383,165.7659495,183.0576151,884.699417,-1067.757032
0,0,0,0,-107.6937362,-60.24902452,167.9427629,108.030311,930.3021028,-1038.332414
0,0,0,0,-98.84011821,-70.55193747,169.3920578,33.2312698,971.354055,-1004.585325
0,0,0,0,-89.56574302,-80.55438286,170.120128,-41.86750101,1008.499425,-966.6319235
0,0,0,0,-79.86515939,-90.25640823,170.1215697,-116.9767756,1041.332164,-924.3553883
0,0,0,0,-69.86805011,-99.52773323,169.3957854,-191.0247385,1069.392301,-878.3675626
0,0,0,0,-59.57554687,-108.3727764,167.9483253,-264.3054318,1092.966758,-828.6613257
0,0,0,0,-48.97277944,-116.7987865,165.771568,-336.865382,1112.03356,-775.1681779
0,0,0,0,-38.21157636,-124.6848001,162.8963785,-407.5698698,1126.201242,-718.6313722
0,0,0,0,-27.28765306,-132.0386747,159.3263298,-476.3845364,1135.461862,-659.0773257
0,0,0,0,-16.19110235,-138.8624679,155.0535723,-543.5200272,1139.920617,-596.4005897
0,0,0,0,-5.078197784,-145.0599051,150.1381048,-607.9540056,1139.453745,-531.4997397
0,0,0,0,6.058045772,-150.639634,144.5815902,-669.8369559,1134.151616,-464.3146603
0,0,0,0,17.22594419,-155.601128,138.3751858,-729.0765856,1123.914434,-394.8378488
0,0,0,0,28.26773703,-159.8740291,131.606294,-784.987983,1108.945483,-323.9574998
0,0,0,0,39.18926903,-163.4654399,124.2761728,-837.3250911,1089.15291,-251.8278186
0,0,0,0,49.997956,-166.3733313,116.3753771,-886.387839,1064.614702,-178.2268629
0,0,0,0,60.54410935,-168.5574863,108.0133788,-931.5602344,1035.666912,-104.1066775
0,0,0,0,70.83394862,-170.0234274,99.18948061,-972.478447,1002.236272,-29.75782463
0,0,0,0,80.87016654,-170.7672652,89.89710045,-1009.642244,964.3712909,45.27095266
0,0,0,0,90.51579701,-170.7788364,80.26304119,-1042.110728,922.5377908,119.5729373
0,0,0,0,99.77887724,-170.063163,70.28428757,-1070.219324,876.7670377,193.4522862
0,0,0,0,108.6569268,-168.6150047,59.95807969,-1093.629096,827.0332022,266.5958935
0,0,0,0,117.0351122,-166.4534985,49.41838805,-1112.650963,773.9412713,338.7096914
0,0,0,0,124.9135161,-163.5838235,38.67030912,-1126.691813,717.5791433,409.1126695
0,0,0,0,132.2972319,-159.998362,27.70113187,-1136.097874,657.7969729,478.3009007
0,0,0,0,139.0812882,-155.747452,16.66616547,-1140.387171,595.5782847,544.8088867
0,0,0,0,145.2752352,-150.8330626,5.557829142,-1139.960729,530.7225081,609.2382205
0,0,0,0,150.8748535,-145.2505869,-5.624264923,-1134.495225,463.3669075,671.1283176
0,0,0,0,155.8072672,-139.0725558,-16.73470974,-1124.246528,394.3266404,729.9198878
0,0,0,0,160.0757988,-132.3054042,-27.77039294,-1109.194635,323.6037782,785.5908566
0,0,0,0,163.6810401,-124.9358011,-38.74523744,-1089.351278,251.0766141,838.2746641
0,0,0,0,166.5710846,-117.0693911,-49.50169193,-1064.917619,177.8347902,887.0828286
0,0,0,0,168.7525935,-108.7059032,-60.04668868,-1035.905327,103.9174511,931.9878762
0,0,0,0,170.2219701,-99.83617354,-70.38579499,-1002.314277,29.15136987,973.1629069
0,0,0,0,170.9587333,-90.58378706,-80.3749447,-964.5955055,-45.37598289,1009.971488
0,0,0,0,170.9686135,-80.9471325,-90.02147943,-922.7623081,-119.7575617,1042.51987
0,0,0,0,170.2462328,-70.91539986,-99.33083136,-876.7543366,-193.9486666,1070.703003
0,0,0,0,168.8014562,-60.63096089,-108.1704938,-827.2026346,-267.0452292,1094.247864
0,0,0,0,166.6391249,-50.09105732,-116.548066,-774.1430787,-338.8122241,1112.955303
0,0,0,0,163.7526291,-39.2861899,-124.4664376,-717.4929616,-409.5487115,1127.041673
0,0,0,0,160.1824572,-28.36748407,-131.8149716,-658.0285404,-478.2400092,1136.26855
0,0,0,0,155.9299567,-17.32649171,-138.6034635,-595.7768544,-544.8340856,1140.61094
0,0,0,0,150.9901437,-6.161592115,-144.8285501,-530.614405,-609.5257834,1140.140188
0,0,0,0,145.4306219,4.974437016,-150.4050575,-463.5519223,-671.1562129,1134.708135
0,0,0,0,139.252373,16.08874312,-155.3411147,-394.4858221,-729.9806554,1124.466477
0,0,0,0,132.4504758,27.1819637,-159.6324381,-323.5479844,-785.6850264,1109.233011
0,0,0,0,125.1135422,38.11001606,-163.2235568,-251.264469,-838.2671806,1089.53165
0,0,0,0,117.2474259,48.87006799,-166.1174925,-178.0805333,-886.9892391,1065.069772
0,0,0,0,108.8403003,59.47247311,-168.312772,-103.6235193,-932.3370282,1035.960547
0,0,0,0,100.0129226,69.76473148,-169.7776527,-29.29088169,-973.2034849,1002.494367
0,0,0,0,90.75681884,79.76237466,-170.5191921,45.33430625,-1010.117636,964.7833296
0,0,0,0,81.07397046,89.45792838,-170.5318975,119.9539461,-1042.676639,922.7226929
0,0,0,0,71.08852235,98.7271054,-169.8156264,193.752477,-1070.682308,876.9298314
0,0,0,0,60.80621184,107.5698022,-168.3760127,266.7255481,-1094.119326,827.3937778
0,0,0,0,50.21122839,115.9944918,-166.2057188,339.0129763,-1113.064963,774.0519865
0,0,0,0,39.455562,123.8801599,-163.3357206,409.4772398,-1127.125618,717.6483785
0,0,0,0,28.53522126,131.2345441,-159.769764,478.0791271,-1136.291293,658.2121657
0,0,0,0,17.4405539,138.0595942,-155.5001468,545.0253223,-1140.665513,595.6401902
0,0,0,0,6.328026337,144.2589292,-150.5869542,609.2925489,-1140.1241,530.8315513
0,0,0,0,-4.809148166,149.8411193,-145.0319698,671.027867,-1134.755922,463.7280546
0,0,0,0,-15.9791346,154.8055811,-138.8264453,730.1361702,-1124.459911,394.3237409
0,0,0,0,-27.02400704,159.0818635,-132.0578552,785.9318994,-1109.439094,323.5071944
0,0,0,0,-37.94948922,162.6770252,-124.7275348,838.1664786,-1089.600443,251.433964
0,0,0,0,-48.76290947,165.5890087,-116.826098,887.1380403,-1065.021201,177.8831604
